Fecha_Hora_PC,Timestamp_ESP_ms,RPM,AccX_g,AccY_g,FiltX_g,FiltY_g,Vibracion_RMS_g
2026-04-30 16:24:56.535,413902,0,0.9304,0.0441,0.0030,-0.0002,0.0030
2026-04-30 16:24:56.565,413932,0,0.9283,0.0425,0.0009,-0.0017,0.0019
2026-04-30 16:24:56.595,413962,0,0.9281,0.0463,0.0006,0.0020,0.0021
2026-04-30 16:24:56.638,413992,0,0.9276,0.0452,0.0001,0.0009,0.0009
2026-04-30 16:24:56.655,414022,0,0.9293,0.0452,0.0017,0.0008,0.0019
2026-04-30 16:24:56.685,414052,0,0.9294,0.0437,0.0018,-0.0006,0.0019
2026-04-30 16:24:56.715,414082,0,0.9265,0.0427,-0.0011,-0.0015,0.0019
2026-04-30 16:24:56.758,414110,0,0.9257,0.0441,-0.0019,-0.0001,0.0019
2026-04-30 16:24:56.775,414140,0,0.9248,0.0453,-0.0026,0.0010,0.0028
2026-04-30 16:24:56.820,414171,0,0.9275,0.0425,0.0001,-0.0017,0.0017
2026-04-30 16:24:56.840,414199,0,0.9285,0.0438,0.0010,-0.0003,0.0011
2026-04-30 16:24:56.862,414229,0,0.9252,0.0448,-0.0022,0.0006,0.0022
2026-04-30 16:24:56.913,414257,0,0.9252,0.0430,-0.0021,-0.0012,0.0024
2026-04-30 16:24:56.933,414287,0,0.9271,0.0442,-0.0001,0.0001,0.0001
2026-04-30 16:24:56.952,414317,0,0.9281,0.0475,0.0008,0.0032,0.0033
2026-04-30 16:24:56.978,414346,0,0.9270,0.0460,-0.0003,0.0016,0.0017
2026-04-30 16:24:57.038,414374,0,0.9292,0.0447,0.0018,0.0003,0.0019
2026-04-30 16:24:57.040,414403,0,0.9241,0.0417,-0.0031,-0.0025,0.0040
2026-04-30 16:24:57.077,414432,0,0.9260,0.0459,-0.0011,0.0015,0.0019
2026-04-30 16:24:57.106,414462,0,0.9277,0.0476,0.0006,0.0031,0.0031
2026-04-30 16:24:57.123,414490,0,0.9268,0.0448,-0.0004,0.0003,0.0005
2026-04-30 16:24:57.187,414520,0,0.9266,0.0438,-0.0005,-0.0007,0.0008
2026-04-30 16:24:57.202,414550,0,0.9235,0.0447,-0.0035,0.0002,0.0035
2026-04-30 16:24:57.219,414580,0,0.9264,0.0458,-0.0005,0.0012,0.0013
2026-04-30 16:24:57.246,414609,0,0.9253,0.0454,-0.0015,0.0008,0.0017
2026-04-30 16:24:57.270,414639,0,0.9281,0.0444,0.0012,-0.0002,0.0012
2026-04-30 16:24:57.303,414668,0,0.9270,0.0432,0.0001,-0.0013,0.0013
2026-04-30 16:24:57.330,414698,0,0.9277,0.0458,0.0008,0.0012,0.0014
2026-04-30 16:24:57.375,414727,0,0.9276,0.0427,0.0006,-0.0018,0.0019
2026-04-30 16:24:57.389,414757,0,0.9279,0.0432,0.0008,-0.0012,0.0015
2026-04-30 16:24:57.448,414786,0,0.9260,0.0459,-0.0009,0.0014,0.0017
2026-04-30 16:24:57.467,414815,0,0.9305,0.0474,0.0034,0.0027,0.0043
2026-04-30 16:24:57.477,414844,0,0.9285,0.0461,0.0013,0.0014,0.0019
2026-04-30 16:24:57.511,414874,0,0.9298,0.0449,0.0025,0.0002,0.0025
2026-04-30 16:24:57.537,414903,0,0.9277,0.0466,0.0004,0.0018,0.0018
2026-04-30 16:24:57.571,414933,0,0.9247,0.0454,-0.0025,0.0006,0.0026
2026-04-30 16:24:57.598,414962,0,0.9292,0.0424,0.0019,-0.0024,0.0030
2026-04-30 16:24:57.640,414991,0,0.9286,0.0466,0.0012,0.0018,0.0022
2026-04-30 16:24:57.659,415021,0,0.9294,0.0427,0.0020,-0.0020,0.0028
2026-04-30 16:24:57.709,415052,0,0.9293,0.0457,0.0017,0.0009,0.0020
2026-04-30 16:24:57.723,415081,0,0.9283,0.0439,0.0007,-0.0008,0.0011
2026-04-30 16:24:57.743,415111,0,0.9268,0.0448,-0.0008,0.0001,0.0008
2026-04-30 16:24:57.773,415140,0,0.9288,0.0431,0.0012,-0.0016,0.0020
2026-04-30 16:24:57.803,415169,0,0.9290,0.0458,0.0012,0.0011,0.0016
2026-04-30 16:24:57.839,415199,0,0.9279,0.0454,0.0001,0.0007,0.0007
2026-04-30 16:24:57.869,415228,0,0.9275,0.0466,-0.0002,0.0018,0.0018
2026-04-30 16:24:57.892,415257,0,0.9269,0.0454,-0.0008,0.0005,0.0010
2026-04-30 16:24:57.944,415287,0,0.9277,0.0439,0.0001,-0.0009,0.0009
2026-04-30 16:24:57.960,415316,0,0.9283,0.0427,0.0006,-0.0020,0.0021
2026-04-30 16:24:57.978,415346,0,0.9276,0.0449,-0.0001,0.0002,0.0002
